Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
58419,BBS-PSA PASS,1,BBS,BHUBANESWAR,19:00:00,19:00:00,0,BBS,BHUBANESWAR,PSA,PALASA
58420,PSA-BBS PASS,36,BBS,BHUBANESWAR,11:25:00,11:25:00,239,PSA,PALASA,BBS,BHUBANESWAR
58421,ANGL-PURI PA,23,BBS,BHUBANESWAR,09:05:00,09:10:00,134,ANGL,ANGUL,PURI,PURI
58422,PURI-ANGL PA,8,BBS,BHUBANESWAR,17:55:00,18:00:00,62,PURI,PURI,ANGL,ANGUL
58425,KDJR-BBS FAS,22,BBS,BHUBANESWAR,11:40:00,11:40:00,214,KDJR,KENDUJHAR,BBS,BHUBANESWAR
58426,BBS-KDJR FAS,1,BBS,BHUBANESWAR,16:00:00,16:00:00,0,BBS,BHUBANESWAR,KDJR,KENDUJHAR
58433,CTC-BAM FAST,7,BBS,BHUBANESWAR,18:25:00,18:30:00,27,CTC,CUTTACK JN.,BAM,BERHAMPUR
58434,BAM-CTC  FAS,12,BBS,BHUBANESWAR,10:10:00,10:15:00,165,BAM,BERHAMPUR,CTC,CUTTACK JN.
58533,CTC-PSA PASS,8,BBS,BHUBANESWAR,17:10:00,17:15:00,27,CTC,CUTTACK JN.,PSA,PALASA
58534,PSA-CTC PASS,36,BBS,BHUBANESWAR,09:25:00,09:35:00,239,PSA,PALASA,CTC,CUTTACK JN.
78502,BBS-CTC  PAS,1,BBS,BHUBANESWAR,00:00:00,09:50:00,0,BBS,BHUBANESWAR,CTC,CUTTACK JN.
